,index,destination_in_x,destination_out_x,block,safe_value_out,rebalance_file_path,fee_and_base_out,fee_and_base_in,destination_in_name,destination_out_name,out_exchange_name,in_exchange_name,pool_in,pool_out,file_name,datetime_generated,autopool_vault_address,chain_id,solver_address,rebalance_type,destination_out_y,token_out,destination_in_y,token_in,move_name,amount_out,amount_out_safe_value,min_amount_in,min_amount_in_safe_value,amount_out_spot_value,out_dest_apr,min_amount_in_spot_value,in_dest_apr,in_dest_adj_apr,apr_delta,swap_offset_period,num_candidate_destinations,candidate_destinations_rank,projected_swap_cost,projected_net_gain,projected_gross_gain,projected_slippage,valid,actual_30_day_fee_and_base_out,actual_60_day_fee_and_base_out,actual_30_day_fee_and_base_in,actual_60_day_fee_and_base_in,start_block,block_30_days,block_60_days,timestamp_30_days,timestamp_60_days
0,0,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,24260281,20000.763983842724,rebalance_plan_1768722827_0x1ABD0403591bE494771115d74ED9E120530f356E.json,0.02378315119265402,0.030978474142033023,Balancer Aave GHO/USDT/USDC,Curve Strategic Ethena Reserves,curve,balancerV3,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,rebalance_plan_1768722827_0x1ABD0403591bE494771115d74ED9E120530f356E.json,2026-01-18 07:53:47+00:00,0x1ABD0403591bE494771115d74ED9E120530f356E,1,0xcc97cc6B9DeFB70838151711c47f3834b8c97919,Pool2Pool,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,crvUSDe -> Aave GHO/USDT/USDC,19589.32930054341,20000.763983,19282.95986900757,19994.465877,,0.0785926587297148,,0.0907758401335475,0.09073188903382486,0.012139230304110057,20.0,2.0,0.0,6.298106000002008,2.036605548407976,8.334711548409985,0.03148932713447943,False,,,,,,,,,
1,1,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,24249518,20000.333002616037,rebalance_plan_1768593227_0x1ABD0403591bE494771115d74ED9E120530f356E.json,0.027008880190118274,0.03054956545036707,Balancer Aave GHO/USDT/USDC,Curve Strategic Ethena Reserves,curve,balancerV3,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,rebalance_plan_1768593227_0x1ABD0403591bE494771115d74ED9E120530f356E.json,2026-01-16 19:53:47+00:00,0x1ABD0403591bE494771115d74ED9E120530f356E,1,0xcc97cc6B9DeFB70838151711c47f3834b8c97919,Pool2Pool,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,crvUSDe -> Aave GHO/USDT/USDC,19588.38917819852,20000.333002,19284.17661268806,19992.591354,,0.07613304723289582,,0.09063554012137626,0.09059113798966406,0.014458090756768238,20.0,2.0,0.0,7.741647999999259,2.2146217258569196,9.956269725856178,0.038707595514660215,False,,,,,,,,,
2,2,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,24247726,19998.78563524008,rebalance_plan_1768571627_0x1ABD0403591bE494771115d74ED9E120530f356E.json,0.027500671345344722,0.030252970274479415,Balancer Aave GHO/USDT/USDC,Curve Strategic Ethena Reserves,curve,balancerV3,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,rebalance_plan_1768571627_0x1ABD0403591bE494771115d74ED9E120530f356E.json,2026-01-16 13:53:47+00:00,0x1ABD0403591bE494771115d74ED9E120530f356E,1,0xcc97cc6B9DeFB70838151711c47f3834b8c97919,Pool2Pool,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,crvUSDe -> Aave GHO/USDT/USDC,19586.528385776262,19998.785635,19282.762703744116,19990.637187,,0.07234673365249474,,0.09046203419329077,0.09041751077133627,0.01807077711884153,20.0,2.0,0.0,8.148447999999917,5.6809436111458345,13.829391611145752,0.04074471394772724,False,,,,,,,,,
3,3,0x3F3565C5A2AA05F76830A5a51c2F32018De856A3,0xC5c95fCad37E466E25e6ecA1977bbF75C0E1004a,24245928,55.36877193127295,rebalance_plan_1768550027_0x1ABD0403591bE494771115d74ED9E120530f356E.json,0.0,0.07961691539069694,Gauntlet USDC Core,Steakhouse USDC,morpho,morpho,0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,0xBEEF01735c132Ada46AA9aA4c54623cAA92A64CB,rebalance_plan_1768550027_0x1ABD0403591bE494771115d74ED9E120530f356E.json,2026-01-16 07:53:47+00:00,0x1ABD0403591bE494771115d74ED9E120530f356E,1,0xcc97cc6B9DeFB70838151711c47f3834b8c97919,Pool2Pool,0xC5c95fCad37E466E25e6ecA1977bbF75C0E1004a,0xBEEF01735c132Ada46AA9aA4c54623cAA92A64CB,0x3F3565C5A2AA05F76830A5a51c2F32018De856A3,0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,steakUSDC -> gtUSDCcore,49.67167873837503,55.368771,48.61871354394091,55.360496,,0.0028955635994157305,,0.08245507065059725,0.08245506634990965,0.07955950275049392,20.0,0.0,,0.008275000000004695,0.0,0.0,0.014945247746251574,False,,,,,,,,,
4,4,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,24244134,22913.722882151458,rebalance_plan_1768528428_0x1ABD0403591bE494771115d74ED9E120530f356E.json,0.01993671323524967,0.02988011558908056,Balancer Aave GHO/USDT/USDC,Curve Strategic Ethena Reserves,curve,balancerV3,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,rebalance_plan_1768528428_0x1ABD0403591bE494771115d74ED9E120530f356E.json,2026-01-16 01:53:48+00:00,0x1ABD0403591bE494771115d74ED9E120530f356E,1,0xcc97cc6B9DeFB70838151711c47f3834b8c97919,Pool2Pool,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,crvUSDe -> Aave GHO/USDT/USDC,22438.45398822683,22913.722882,22088.89427229148,22902.042086,,0.06467141743188727,,0.0914914791000311,0.09143805953808902,0.02676664210620175,20.0,2.0,0.0,11.680795999996917,13.77932241547842,25.460118415475335,0.050977294524116076,False,,,,,,,,,
5,5,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,24242507,30551.301412210116,rebalance_plan_1768508821_0x1ABD0403591bE494771115d74ED9E120530f356E.json,0.0195656177759364,0.029745217729867712,Balancer Aave GHO/USDT/USDC,Curve Strategic Ethena Reserves,curve,balancerV3,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,rebalance_plan_1768508821_0x1ABD0403591bE494771115d74ED9E120530f356E.json,2026-01-15 20:27:01+00:00,0x1ABD0403591bE494771115d74ED9E120530f356E,1,0xcc97cc6B9DeFB70838151711c47f3834b8c97919,Pool2Pool,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,crvUSDe -> Aave GHO/USDT/USDC,29917.938650969103,30551.301412,29452.259403688415,30535.150323,,0.057205728152338,,0.09145768503644876,0.09138625076779312,0.03418052261545512,20.0,3.0,0.0,16.151088999999047,31.382804120895226,47.53389312089428,0.052865469729728734,False,,,,,,,,,
6,6,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,24240545,40745.59966401863,rebalance_plan_1768485228_0x1ABD0403591bE494771115d74ED9E120530f356E.json,0.01754250813071355,0.029451649727188313,Balancer Aave GHO/USDT/USDC,Curve Strategic Ethena Reserves,curve,balancerV3,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,rebalance_plan_1768485228_0x1ABD0403591bE494771115d74ED9E120530f356E.json,2026-01-15 13:53:48+00:00,0x1ABD0403591bE494771115d74ED9E120530f356E,1,0xcc97cc6B9DeFB70838151711c47f3834b8c97919,Pool2Pool,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,crvUSDe -> Aave GHO/USDT/USDC,39890.5848679588,40745.599664,39262.23559587885,40704.723861,,0.051394105521070085,,0.09143109765861519,0.09133534085235469,0.0399412353312846,20.0,3.0,0.0,40.875803000002634,79.28878561794947,120.1645886179521,0.10031955189536128,False,,,,,,,,,
7,7,0xC5c95fCad37E466E25e6ecA1977bbF75C0E1004a,0x3F3565C5A2AA05F76830A5a51c2F32018De856A3,24236963,55.36154613382923,rebalance_plan_1768442027_0x1ABD0403591bE494771115d74ED9E120530f356E.json,0.03981454421849603,0.08130712150039003,Steakhouse USDC,Gauntlet USDC Core,morpho,morpho,0xBEEF01735c132Ada46AA9aA4c54623cAA92A64CB,0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,rebalance_plan_1768442027_0x1ABD0403591bE494771115d74ED9E120530f356E.json,2026-01-15 01:53:47+00:00,0x1ABD0403591bE494771115d74ED9E120530f356E,1,0xcc97cc6B9DeFB70838151711c47f3834b8c97919,Pool2Pool,0x3F3565C5A2AA05F76830A5a51c2F32018De856A3,0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,0xC5c95fCad37E466E25e6ecA1977bbF75C0E1004a,0xBEEF01735c132Ada46AA9aA4c54623cAA92A64CB,gtUSDCcore -> steakUSDC,48.646568415963316,55.361594,49.644365107136366,55.353266,,0.042840814975524784,,0.08437648236137124,0.08437648197582223,0.04153566700029745,20.0,0.0,,0.00832799999999878,0.0,0.0,0.01504291946506956,False,,,,,,,,,
8,8,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,24234957,54301.829869483045,rebalance_plan_1768417787_0x1ABD0403591bE494771115d74ED9E120530f356E.json,0.01243354227935219,0.02849966211132153,Balancer Aave GHO/USDT/USDC,Curve Strategic Ethena Reserves,curve,balancerV3,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,rebalance_plan_1768417787_0x1ABD0403591bE494771115d74ED9E120530f356E.json,2026-01-14 19:09:47+00:00,0x1ABD0403591bE494771115d74ED9E120530f356E,1,0xcc97cc6B9DeFB70838151711c47f3834b8c97919,Pool2Pool,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,crvUSDe -> Aave GHO/USDT/USDC,53187.44649061174,54301.829869,52367.552522038386,54287.413449,,0.040434834450356394,,0.08682525015399974,0.08670429595497807,0.046269461504621676,20.0,3.0,0.0,14.41642000000138,111.4033126496448,125.81973264964618,0.02654868175672929,False,,,,,,,,,
9,9,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,24192182,33480.62469931991,rebalance_plan_1767902028_0x1ABD0403591bE494771115d74ED9E120530f356E.json,0.027892830733875197,0.08452964985067504,Curve Strategic Ethena Reserves,Balancer Aave GHO/USDT/USDC,balancerV3,curve,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,rebalance_plan_1767902028_0x1ABD0403591bE494771115d74ED9E120530f356E.json,2026-01-08 19:53:48+00:00,0x1ABD0403591bE494771115d74ED9E120530f356E,1,0xcc97cc6B9DeFB70838151711c47f3834b8c97919,Pool2Pool,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,Aave GHO/USDT/USDC -> crvUSDe,32345.52325184298,33480.624699,32801.24263485171,33466.266181,,0.08585927632046553,,0.10470588963092428,0.10323332901215346,0.01737405269168793,20.0,1.0,0.0,14.358518000000913,10.601758214214165,24.960276214215078,0.04288605164655059,False,,,,,,,,,
10,10,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,24190390,44639.021583124435,rebalance_plan_1767880427_0x1ABD0403591bE494771115d74ED9E120530f356E.json,0.027791033018614665,0.09172251943906531,Curve Strategic Ethena Reserves,Balancer Aave GHO/USDT/USDC,balancerV3,curve,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,rebalance_plan_1767880427_0x1ABD0403591bE494771115d74ED9E120530f356E.json,2026-01-08 13:53:47+00:00,0x1ABD0403591bE494771115d74ED9E120530f356E,1,0xcc97cc6B9DeFB70838151711c47f3834b8c97919,Pool2Pool,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,Aave GHO/USDT/USDC -> crvUSDe,43127.36433579064,44639.021583,43739.67425836225,44626.380619,,0.08553861971343293,,0.11234476640304412,0.110337393268221,0.024798773554788073,20.0,1.0,0.0,12.640963999998348,47.06608695172815,59.7070509517265,0.028318192361125677,False,,,,,,,,,
11,11,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,24185031,59530.02356519812,rebalance_plan_1767815627_0x1ABD0403591bE494771115d74ED9E120530f356E.json,0.027847675350444828,0.09143940544144606,Curve Strategic Ethena Reserves,Balancer Aave GHO/USDT/USDC,balancerV3,curve,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,rebalance_plan_1767815627_0x1ABD0403591bE494771115d74ED9E120530f356E.json,2026-01-07 19:53:47+00:00,0x1ABD0403591bE494771115d74ED9E120530f356E,1,0xcc97cc6B9DeFB70838151711c47f3834b8c97919,Pool2Pool,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,Aave GHO/USDT/USDC -> crvUSDe,57503.15244772086,59530.023565,58315.61735657767,59507.353392,,0.08526498000480184,,0.112938082225512,0.11019997496538636,0.024934994960584517,20.0,1.0,0.0,22.67017300000589,37.97469901321191,60.6448720132178,0.03808191504451975,False,,,,,,,,,
12,12,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,24179654,79391.15239542132,rebalance_plan_1767750828_0x1ABD0403591bE494771115d74ED9E120530f356E.json,0.027534567348003865,0.07762131060852764,Curve Strategic Ethena Reserves,Balancer Aave GHO/USDT/USDC,balancerV3,curve,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,rebalance_plan_1767750828_0x1ABD0403591bE494771115d74ED9E120530f356E.json,2026-01-07 01:53:48+00:00,0x1ABD0403591bE494771115d74ED9E120530f356E,1,0xcc97cc6B9DeFB70838151711c47f3834b8c97919,Pool2Pool,0x366C094C5563CD12AF27b9AfFF2200B0E0D056E0,0x85B2b559bC2D21104C4DEFdd6EFcA8A20343361D,0xd7900d87069C815a299bdA7aFDcd7eEe98fe4b6c,0x5B03CcCAb7BA3010fA5CAd23746cbf0794938e96,Aave GHO/USDT/USDC -> crvUSDe,76670.86993029447,79391.152395,77749.23002571374,79361.26165,,0.08646326191410353,,0.11093627882104011,0.10326442675621886,0.01680116484211533,20.0,1.0,0.0,29.89074499999697,28.008349956209106,57.89909495620607,0.03764996992521231,False,,,,,,,,,
13,13,0x3F3565C5A2AA05F76830A5a51c2F32018De856A3,0xC5c95fCad37E466E25e6ecA1977bbF75C0E1004a,24165313,55.28167290083119,rebalance_plan_1767578028_0x1ABD0403591bE494771115d74ED9E120530f356E.json,0.04063661657162343,0.07962980584254462,Gauntlet USDC Core,Steakhouse USDC,morpho,morpho,0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,0xBEEF01735c132Ada46AA9aA4c54623cAA92A64CB,rebalance_plan_1767578028_0x1ABD0403591bE494771115d74ED9E120530f356E.json,2026-01-05 01:53:48+00:00,0x1ABD0403591bE494771115d74ED9E120530f356E,1,0xcc97cc6B9DeFB70838151711c47f3834b8c97919,Pool2Pool,0xC5c95fCad37E466E25e6ecA1977bbF75C0E1004a,0xBEEF01735c132Ada46AA9aA4c54623cAA92A64CB,0x3F3565C5A2AA05F76830A5a51c2F32018De856A3,0x8eB67A509616cd6A7c1B3c8C21D48FF57df3d458,steakUSDC -> gtUSDCcore,49.65059977764892,55.281672,48.61980964165548,55.273374,,0.04365195832343277,,0.08311206316097748,0.08311205802930002,0.03946009970586725,20.0,0.0,,0.00829800000000347,0.0,0.0,0.015010399830170601,False,,,,,,,,,
14,14,0xC5c95fCad37E466E25e6ecA1977bbF75C0E1004a,0x0f170e37E5E0C617148517B831A49292c38c363d,24158141,55.27482628020435,rebalance_plan_1767491627_0x1ABD0403591bE494771115d74ED9E120530f356E.json,0.04037121858061168,0.08002050327065664,Steakhouse USDC,Gauntlet USDC Prime,morpho,morpho,0xBEEF01735c132Ada46AA9aA4c54623cAA92A64CB,0xdd0f28e19C1780eb6396170735D45153D261490d,rebalance_plan_1767491627_0x1ABD0403591bE494771115d74ED9E120530f356E.json,2026-01-04 01:53:47+00:00,0x1ABD0403591bE494771115d74ED9E120530f356E,1,0xcc97cc6B9DeFB70838151711c47f3834b8c97919,Pool2Pool,0x0f170e37E5E0C617148517B831A49292c38c363d,0xdd0f28e19C1780eb6396170735D45153D261490d,0xC5c95fCad37E466E25e6ecA1977bbF75C0E1004a,0xBEEF01735c132Ada46AA9aA4c54623cAA92A64CB,gtUSDC -> steakUSDC,50.098544468617824,55.274776,49.623279916100834,55.266502,,0.04365210968531002,,0.08321371932960528,0.08321371887581727,0.03956160919050725,20.0,0.0,,0.008274000000000115,0.0,0.0,0.014968853062380777,False,,,,,,,,,
