,index,destination_in_x,destination_out_x,block,safe_value_out,rebalance_file_path,fee_and_base_out,fee_and_base_in,destination_in_name,destination_out_name,out_exchange_name,in_exchange_name,pool_in,pool_out,file_name,datetime_generated,autopool_vault_address,chain_id,solver_address,rebalance_type,destination_out_y,token_out,destination_in_y,token_in,move_name,amount_out,amount_out_safe_value,min_amount_in,min_amount_in_safe_value,amount_out_spot_value,out_dest_apr,min_amount_in_spot_value,in_dest_apr,in_dest_adj_apr,apr_delta,swap_offset_period,num_candidate_destinations,candidate_destinations_rank,valid,error,error_type,actual_30_day_fee_and_base_out,actual_60_day_fee_and_base_out,actual_30_day_fee_and_base_in,actual_60_day_fee_and_base_in
0,0,0xD96d54E54186116fBC5C76727dd694E92F57f3fD,0x68e93d2f0781864cF6F370Ecc3B7240738DE15f7,26789932,11439.93362683494,rebalance_plan_1765969993_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,0.016035894897300045,0.028735085178531693,Wrapped Aave Linea USDC,Wrapped Aave Linea USDT,aave,aave,0xbC3af484919304E005Ca8b735a0d463b876aeB52,0x4D11f27b1c4A5d232a200D2256A4E3d9bAACcF05,rebalance_plan_1765969993_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,2025-12-17 11:13:13+00:00,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,59144.0,0xe085D420cdf152Ab504FF05E9Dce440E45D62a03,Pool2Pool,0x68e93d2f0781864cF6F370Ecc3B7240738DE15f7,0x4D11f27b1c4A5d232a200D2256A4E3d9bAACcF05,0xD96d54E54186116fBC5C76727dd694E92F57f3fD,0xbC3af484919304E005Ca8b735a0d463b876aeB52,waLinUSDT -> waLinUSDC,11146.664874,11439.933627,11147.035082,11434.914204,,0.016035894897300045,,0.028735085178531693,0.028735085178531693,0.012699190281231648,20.0,1.0,0.0,False,"ChainData(name='linea', block_autopool_first_deployed=24833829, chain_id=59144, start_unix_timestamp=1761230085, alchemy_network_enum='linea-mainnet')",KeyError,,,,
1,1,0x68e93d2f0781864cF6F370Ecc3B7240738DE15f7,0xD96d54E54186116fBC5C76727dd694E92F57f3fD,26529410,85744.21415551206,rebalance_plan_1765365193_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,0.031039762013310924,0.061169494135346524,Wrapped Aave Linea USDT,Wrapped Aave Linea USDC,aave,aave,0x4D11f27b1c4A5d232a200D2256A4E3d9bAACcF05,0xbC3af484919304E005Ca8b735a0d463b876aeB52,rebalance_plan_1765365193_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,2025-12-10 11:13:13+00:00,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,59144.0,0xe085D420cdf152Ab504FF05E9Dce440E45D62a03,Pool2Pool,0xD96d54E54186116fBC5C76727dd694E92F57f3fD,0xbC3af484919304E005Ca8b735a0d463b876aeB52,0x68e93d2f0781864cF6F370Ecc3B7240738DE15f7,0x4D11f27b1c4A5d232a200D2256A4E3d9bAACcF05,waLinUSDC -> waLinUSDT,83667.421421,85744.214155,83483.365258,85679.616659,,0.031039762013310924,,0.061169494135346524,0.061169494135346524,0.0301297321220356,20.0,1.0,0.0,False,"ChainData(name='linea', block_autopool_first_deployed=24833829, chain_id=59144, start_unix_timestamp=1761230085, alchemy_network_enum='linea-mainnet')",KeyError,,,,
2,2,0x68e93d2f0781864cF6F370Ecc3B7240738DE15f7,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,26508073,3999.227,rebalance_plan_1765309993_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,,0.043538680485556605,Wrapped Aave Linea USDT,lineaUSD,tokemak,aave,0x4D11f27b1c4A5d232a200D2256A4E3d9bAACcF05,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,rebalance_plan_1765309993_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,2025-12-09 19:53:13+00:00,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,59144.0,0xe085D420cdf152Ab504FF05E9Dce440E45D62a03,FromIdle,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,0x68e93d2f0781864cF6F370Ecc3B7240738DE15f7,0x4D11f27b1c4A5d232a200D2256A4E3d9bAACcF05,lineaUSD -> waLinUSDT,3999.227,3999.227,3894.720645,3996.472645,,,,0.043538680485556605,0.043538680485556605,0.043538680485556605,20.0,1.0,0.0,False,"ChainData(name='linea', block_autopool_first_deployed=24833829, chain_id=59144, start_unix_timestamp=1761230085, alchemy_network_enum='linea-mainnet')",KeyError,0.0,0.0,,
3,3,0xD96d54E54186116fBC5C76727dd694E92F57f3fD,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,26363232,161984.830499,rebalance_plan_1764943994_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,,0.028123895585467698,Wrapped Aave Linea USDC,lineaUSD,tokemak,aave,0xbC3af484919304E005Ca8b735a0d463b876aeB52,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,rebalance_plan_1764943994_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,2025-12-05 14:13:14+00:00,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,59144.0,0xe085D420cdf152Ab504FF05E9Dce440E45D62a03,FromIdle,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,0xD96d54E54186116fBC5C76727dd694E92F57f3fD,0xbC3af484919304E005Ca8b735a0d463b876aeB52,lineaUSD -> waLinUSDC,161984.830499,161984.830499,158037.609031,161960.532775,,,,0.028123895585467698,0.028123895585467698,0.028123895585467698,20.0,0.0,,False,"ChainData(name='linea', block_autopool_first_deployed=24833829, chain_id=59144, start_unix_timestamp=1761230085, alchemy_network_enum='linea-mainnet')",KeyError,0.0,0.0,,
4,4,0x68e93d2f0781864cF6F370Ecc3B7240738DE15f7,0xD96d54E54186116fBC5C76727dd694E92F57f3fD,26100973,6377.632614840576,rebalance_plan_1764293593_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,0.032752800578080284,0.043608797766258596,Wrapped Aave Linea USDT,Wrapped Aave Linea USDC,aave,aave,0x4D11f27b1c4A5d232a200D2256A4E3d9bAACcF05,0xbC3af484919304E005Ca8b735a0d463b876aeB52,rebalance_plan_1764293593_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,2025-11-28 01:33:13+00:00,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,59144.0,0xe085D420cdf152Ab504FF05E9Dce440E45D62a03,Pool2Pool,0xD96d54E54186116fBC5C76727dd694E92F57f3fD,0xbC3af484919304E005Ca8b735a0d463b876aeB52,0x68e93d2f0781864cF6F370Ecc3B7240738DE15f7,0x4D11f27b1c4A5d232a200D2256A4E3d9bAACcF05,waLinUSDC -> waLinUSDT,6229.714279,6377.632615,6221.383904,6375.573444,,0.032752800578080284,,0.043608797766258596,0.043608797766258596,0.010855997188178312,20.0,1.0,0.0,False,"ChainData(name='linea', block_autopool_first_deployed=24833829, chain_id=59144, start_unix_timestamp=1761230085, alchemy_network_enum='linea-mainnet')",KeyError,,,,
5,5,0x68e93d2f0781864cF6F370Ecc3B7240738DE15f7,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,26035549,25368.234,rebalance_plan_1764138793_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,,0.04078012335254032,Wrapped Aave Linea USDT,lineaUSD,tokemak,aave,0x4D11f27b1c4A5d232a200D2256A4E3d9bAACcF05,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,rebalance_plan_1764138793_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,2025-11-26 06:33:13+00:00,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,59144.0,0xe085D420cdf152Ab504FF05E9Dce440E45D62a03,FromIdle,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,0x68e93d2f0781864cF6F370Ecc3B7240738DE15f7,0x4D11f27b1c4A5d232a200D2256A4E3d9bAACcF05,lineaUSD -> waLinUSDT,25368.234,25368.234,24749.251585,25351.12228,,,,0.04078012335254032,0.04078012335254032,0.04078012335254032,20.0,1.0,0.0,False,"ChainData(name='linea', block_autopool_first_deployed=24833829, chain_id=59144, start_unix_timestamp=1761230085, alchemy_network_enum='linea-mainnet')",KeyError,0.0,0.0,,
6,6,0x68e93d2f0781864cF6F370Ecc3B7240738DE15f7,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,26034503,30000.0,rebalance_plan_1764136393_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,,0.04134497777896561,Wrapped Aave Linea USDT,lineaUSD,tokemak,aave,0x4D11f27b1c4A5d232a200D2256A4E3d9bAACcF05,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,rebalance_plan_1764136393_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,2025-11-26 05:53:13+00:00,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,59144.0,0xe085D420cdf152Ab504FF05E9Dce440E45D62a03,FromIdle,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,0x68e93d2f0781864cF6F370Ecc3B7240738DE15f7,0x4D11f27b1c4A5d232a200D2256A4E3d9bAACcF05,lineaUSD -> waLinUSDT,30000.0,30000.0,29269.122109,29980.79331,,,,0.04134497777896561,0.04134497777896561,0.04134497777896561,20.0,1.0,0.0,False,"ChainData(name='linea', block_autopool_first_deployed=24833829, chain_id=59144, start_unix_timestamp=1761230085, alchemy_network_enum='linea-mainnet')",KeyError,0.0,0.0,,
7,7,0x68e93d2f0781864cF6F370Ecc3B7240738DE15f7,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,26033539,30000.0,rebalance_plan_1764133993_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,,0.042109033066089506,Wrapped Aave Linea USDT,lineaUSD,tokemak,aave,0x4D11f27b1c4A5d232a200D2256A4E3d9bAACcF05,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,rebalance_plan_1764133993_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,2025-11-26 05:13:13+00:00,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,59144.0,0xe085D420cdf152Ab504FF05E9Dce440E45D62a03,FromIdle,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,0x68e93d2f0781864cF6F370Ecc3B7240738DE15f7,0x4D11f27b1c4A5d232a200D2256A4E3d9bAACcF05,lineaUSD -> waLinUSDT,30000.0,30000.0,29270.68124,29982.302547,,,,0.042109033066089506,0.042109033066089506,0.042109033066089506,20.0,1.0,0.0,False,"ChainData(name='linea', block_autopool_first_deployed=24833829, chain_id=59144, start_unix_timestamp=1761230085, alchemy_network_enum='linea-mainnet')",KeyError,0.0,0.0,,
8,8,0x68e93d2f0781864cF6F370Ecc3B7240738DE15f7,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,26032654,30000.0,rebalance_plan_1764131593_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,,0.042682781609554556,Wrapped Aave Linea USDT,lineaUSD,tokemak,aave,0x4D11f27b1c4A5d232a200D2256A4E3d9bAACcF05,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,rebalance_plan_1764131593_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,2025-11-26 04:33:13+00:00,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,59144.0,0xe085D420cdf152Ab504FF05E9Dce440E45D62a03,FromIdle,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,0x68e93d2f0781864cF6F370Ecc3B7240738DE15f7,0x4D11f27b1c4A5d232a200D2256A4E3d9bAACcF05,lineaUSD -> waLinUSDT,30000.0,30000.0,29267.429808,29978.884274,,,,0.042682781609554556,0.042682781609554556,0.042682781609554556,20.0,1.0,0.0,False,"ChainData(name='linea', block_autopool_first_deployed=24833829, chain_id=59144, start_unix_timestamp=1761230085, alchemy_network_enum='linea-mainnet')",KeyError,0.0,0.0,,
9,9,0x68e93d2f0781864cF6F370Ecc3B7240738DE15f7,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,26031661,38456.07825,rebalance_plan_1764129193_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,,0.04292473790121125,Wrapped Aave Linea USDT,lineaUSD,tokemak,aave,0x4D11f27b1c4A5d232a200D2256A4E3d9bAACcF05,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,rebalance_plan_1764129193_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,2025-11-26 03:53:13+00:00,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,59144.0,0xe085D420cdf152Ab504FF05E9Dce440E45D62a03,FromIdle,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,0x68e93d2f0781864cF6F370Ecc3B7240738DE15f7,0x4D11f27b1c4A5d232a200D2256A4E3d9bAACcF05,lineaUSD -> waLinUSDT,38456.07825,38456.07825,37518.27496,38430.184566,,,,0.04292473790121125,0.04292473790121125,0.04292473790121125,20.0,1.0,0.0,False,"ChainData(name='linea', block_autopool_first_deployed=24833829, chain_id=59144, start_unix_timestamp=1761230085, alchemy_network_enum='linea-mainnet')",KeyError,0.0,0.0,,
10,10,0xD96d54E54186116fBC5C76727dd694E92F57f3fD,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,26030667,153824.313,rebalance_plan_1764126793_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,,0.038958594706703153,Wrapped Aave Linea USDC,lineaUSD,tokemak,aave,0xbC3af484919304E005Ca8b735a0d463b876aeB52,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,rebalance_plan_1764126793_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,2025-11-26 03:13:13+00:00,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,59144.0,0xe085D420cdf152Ab504FF05E9Dce440E45D62a03,FromIdle,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,0xD96d54E54186116fBC5C76727dd694E92F57f3fD,0xbC3af484919304E005Ca8b735a0d463b876aeB52,lineaUSD -> waLinUSDC,153824.313,153824.313,150202.564804,153801.239353,,,,0.038958594706703153,0.038958594706703153,0.038958594706703153,20.0,0.0,,False,"ChainData(name='linea', block_autopool_first_deployed=24833829, chain_id=59144, start_unix_timestamp=1761230085, alchemy_network_enum='linea-mainnet')",KeyError,0.0,0.0,,
11,11,0x68e93d2f0781864cF6F370Ecc3B7240738DE15f7,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,26029660,50538.8785,rebalance_plan_1764124393_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,,0.043910133381065586,Wrapped Aave Linea USDT,lineaUSD,tokemak,aave,0x4D11f27b1c4A5d232a200D2256A4E3d9bAACcF05,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,rebalance_plan_1764124393_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,2025-11-26 02:33:13+00:00,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,59144.0,0xe085D420cdf152Ab504FF05E9Dce440E45D62a03,FromIdle,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,0x68e93d2f0781864cF6F370Ecc3B7240738DE15f7,0x4D11f27b1c4A5d232a200D2256A4E3d9bAACcF05,lineaUSD -> waLinUSDT,50538.8785,50538.8785,49311.250451,50509.451962,,,,0.043910133381065586,0.043910133381065586,0.043910133381065586,20.0,1.0,0.0,False,"ChainData(name='linea', block_autopool_first_deployed=24833829, chain_id=59144, start_unix_timestamp=1761230085, alchemy_network_enum='linea-mainnet')",KeyError,0.0,0.0,,
12,12,0xD96d54E54186116fBC5C76727dd694E92F57f3fD,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,26028733,202155.514499,rebalance_plan_1764121993_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,,0.03966826685775146,Wrapped Aave Linea USDC,lineaUSD,tokemak,aave,0xbC3af484919304E005Ca8b735a0d463b876aeB52,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,rebalance_plan_1764121993_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,2025-11-26 01:53:13+00:00,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,59144.0,0xe085D420cdf152Ab504FF05E9Dce440E45D62a03,FromIdle,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,0xD96d54E54186116fBC5C76727dd694E92F57f3fD,0xbC3af484919304E005Ca8b735a0d463b876aeB52,lineaUSD -> waLinUSDC,202155.514499,202155.514499,197396.978938,202125.191172,,,,0.03966826685775146,0.03966826685775146,0.03966826685775146,20.0,0.0,,False,"ChainData(name='linea', block_autopool_first_deployed=24833829, chain_id=59144, start_unix_timestamp=1761230085, alchemy_network_enum='linea-mainnet')",KeyError,0.0,0.0,,
13,13,0x68e93d2f0781864cF6F370Ecc3B7240738DE15f7,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,26027868,30000.0,rebalance_plan_1764119593_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,,0.044529999906942154,Wrapped Aave Linea USDT,lineaUSD,tokemak,aave,0x4D11f27b1c4A5d232a200D2256A4E3d9bAACcF05,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,rebalance_plan_1764119593_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,2025-11-26 01:13:13+00:00,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,59144.0,0xe085D420cdf152Ab504FF05E9Dce440E45D62a03,FromIdle,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,0x68e93d2f0781864cF6F370Ecc3B7240738DE15f7,0x4D11f27b1c4A5d232a200D2256A4E3d9bAACcF05,lineaUSD -> waLinUSDT,30000.0,30000.0,29272.648095,29983.731825,,,,0.044529999906942154,0.044529999906942154,0.044529999906942154,20.0,1.0,0.0,False,"ChainData(name='linea', block_autopool_first_deployed=24833829, chain_id=59144, start_unix_timestamp=1761230085, alchemy_network_enum='linea-mainnet')",KeyError,0.0,0.0,,
14,14,0x68e93d2f0781864cF6F370Ecc3B7240738DE15f7,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,26024618,2999.573,rebalance_plan_1764109994_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,,0.04458263683435317,Wrapped Aave Linea USDT,lineaUSD,tokemak,aave,0x4D11f27b1c4A5d232a200D2256A4E3d9bAACcF05,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,rebalance_plan_1764109994_0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a.json,2025-11-25 22:33:14+00:00,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,59144.0,0xe085D420cdf152Ab504FF05E9Dce440E45D62a03,FromIdle,0xd1A6524Fccd465ECa7AF2340B3D7fd2e3bbD792a,0x176211869cA2b568f2A7D4EE941E073a821EE1ff,0x68e93d2f0781864cF6F370Ecc3B7240738DE15f7,0x4D11f27b1c4A5d232a200D2256A4E3d9bAACcF05,lineaUSD -> waLinUSDT,2999.573,2999.573,2926.906687,2997.965388,,,,0.04458263683435317,0.04458263683435317,0.04458263683435317,20.0,1.0,0.0,False,"ChainData(name='linea', block_autopool_first_deployed=24833829, chain_id=59144, start_unix_timestamp=1761230085, alchemy_network_enum='linea-mainnet')",KeyError,0.0,0.0,,
