account,lockCycle,lockDuration,amount,total_staked,cycle_unlock,days_left,days_left_bin,days_left_label
0x66b416d7DEE321914BA9491eE5E18d8A0aC1Df41,399,16,712615309779107239481,713,415,77,56,56-83 days
0x123cC4AFA59160C6328C0152cf333343F510e5A3,396,16,76394740031096858770,76,412,56,56,56-83 days
0xf5042b588f98Fd57f0D370Fce7BF6c869597e995,394,16,19414383249190046994281,19414,410,42,28,28-55 days
0xBbc3981Cb8116477B7Ba26f347Cf6B07e09EDF6C,398,16,13159560318781236509845,13160,414,70,56,56-83 days
0x316B98C6df382BD218186D0766966459A199Dd04,393,16,10013008568190497941238,10013,409,35,28,28-55 days
0x2dCF0bF2B8A5f0d732aa0dE15Df8657d11845491,398,16,15012437480163475841572,15012,414,70,56,56-83 days
0xbef491231527C9EfB47C45603B85eA66439714a5,402,16,14078337933741716305099,14078,418,98,84,84-111 days
0x7B55cfB0D6200da34a453F40f90C1152928dfA74,396,16,8242982076047655546248,8243,412,56,56,56-83 days
0xE9e4993aA434d1E7CB64dB6A57507ae37257d4B6,389,16,3603578123807614891075,3604,405,7,0,0-27 days
0x4D4Ef453CF782926825F5768499C7e02DaA3A9E7,402,16,7025134345039336008947,7025,418,98,84,84-111 days
0x010C97E6672Ea772E6417b8Cf679f4751f4006A8,392,16,38013692064688688115749,38014,408,28,28,28-55 days
0x440C8AB91bA7C8763B3D9b3357DC1C0D13A148aa,403,16,9867557860666510557592,9868,419,105,84,84-111 days
0x5804c9884436875c80280653DE1C7c99B32D9de3,403,16,56030057493740302516456,56030,419,105,84,84-111 days
0x483a44E5Ed038f23518F7222a97F8f3E8AcD138e,395,16,17000002392686874150524,17000,411,49,28,28-55 days
0x2C21aB32B410B45f9eDfB3978Fa71F2aeB8F8e24,403,16,253528871492486284330367,253529,419,105,84,84-111 days
0xCD2B51A38B174Fe34079cC7622ECd2F12C720634,391,16,57903378944641774147865,57903,407,21,0,0-27 days
0x6D94A401C1f88b9903728d22AFBA5756E663Fd6D,399,16,94099802151534937891212,94100,415,77,56,56-83 days
0xe30248D88d5231d607C90900529C8B2c9755dAED,391,16,112221440029947295743154,112221,407,21,0,0-27 days
0xe15ACdBcF0ad8119576178f1f6C2dCb261c2024c,398,16,20006655307535482049487,20007,414,70,56,56-83 days
0xA120DD31303F21930d2c2D6000A3768A075de77d,390,16,14518121176142718031381,14518,406,14,0,0-27 days
0x16Ff03Ef98EF3884C0FA0f296e98F481A33058D5,389,16,59335054407871745731218,59335,405,7,0,0-27 days
0x1C83A16db88910159fF30a9d324d79395327C4f5,391,16,54435430326594901750,54,407,21,0,0-27 days
0x33C8D9f54Bf5848B1d201d830a6a99F39b42D748,397,16,23744999999999999788022,23745,413,63,56,56-83 days
0xe177E070759EC3493253bD9B3027459BBDABD9FF,404,16,71240913722114261387895,71241,420,112,112,112-139 days
0xeAa630449b584b7517318D046d78a4538c7E1FbA,392,16,2166403550143395854287,2166,408,28,28,28-55 days
0xFCAf446eFd5F25703DF6f7146D92727FD56e8a05,401,16,32023348755342625266338,32023,417,91,84,84-111 days
0xcC1239b66F6A897de0759594953C49EF8Fe7168f,394,16,172701418556642154778329,172701,410,42,28,28-55 days
0x50F3073AEe93950B562a2033BAC1FC3d0403d6Af,400,16,38584434379107462326572,38584,416,84,84,84-111 days
0x3Ec0e571F878003cE1b18325b449b799Ea2BfD53,403,16,472760315187958016819,473,419,105,84,84-111 days
0x4542F699390b2ca749e1Fe32c649B3371f513553,403,16,5569739566333409703315,5570,419,105,84,84-111 days
0xC0810E5f17915dFe97b57947A3d84094572689ac,401,16,285132206358905924535338,285132,417,91,84,84-111 days
0xB792aa01D8526fB630f7d763BcB34a239a0229D4,396,16,1240000000000000000000,1240,412,56,56,56-83 days
0xFa0c409E4f88807a96Cced2aCCF116cC1649c425,401,16,1820377711013843851931094,1820378,417,91,84,84-111 days
0x0Fbec6687988bB526C54EAd9f788B6a940e1D782,398,16,983757097986918901583,984,414,70,56,56-83 days
0xa05C2c9760e7f13569d7Af4DA465C7dba7B3b164,401,16,159429351555758640039059,159429,417,91,84,84-111 days
0x060Cd0DC68Bf20B556Dea315C6dE1Cf53F9062ED,400,16,347637293704218555111,348,416,84,84,84-111 days
0x66db26ea0cF799e98A539af0405272B46e4e0F7d,401,16,151448229872545032065,151,417,91,84,84-111 days
0x9B37C383794f2FebdbeF373946E5A11e93A241E1,400,16,179841426028835465976309,179841,416,84,84,84-111 days
0x46dC3308BaFAf6775f0D8Dc70DcCEedc9E7D81A4,390,16,1455903449480299246501,1456,406,14,0,0-27 days
0x06232028c253dA3404cce43A4789dc802a62C846,404,16,207908397599032265035745,207908,420,112,112,112-139 days
0xA79f0CeD799B11f31885925c82aAe9600442C10B,402,16,43923224066336433533884,43923,418,98,84,84-111 days
0xb0E1BD3a262DFb2dd87eAb7cc86Ec65c56376861,404,16,4638115026928568988773,4638,420,112,112,112-139 days
0x6E21DBf061FDCdc8D3695150edb384ce2E590d48,392,16,37087711654965228986279,37088,408,28,28,28-55 days
0x113C968Ce68a70a9B59B3415BBfCFC3C11175Ba7,400,16,182390179187810098564719,182390,416,84,84,84-111 days
0x585f3C77adEd8DEFA28604e1a1A986dC178A6813,403,16,1949587862339366013797,1950,419,105,84,84-111 days
0x003F35595dce3187B4Fff2B5A2c4303f7158208a,389,16,314175560688193295031,314,405,7,0,0-27 days
0xB71941bcf0B643c2bF88a149156239C1f459B246,396,16,17351539766964133873216,17352,412,56,56,56-83 days
0xDbA4934ce3B58E0cE97fc780104EA5DEeAD30aCF,398,16,2205950852629200051788,2206,414,70,56,56-83 days
0xB6CF3474827E5091d9Acd84E2E4bcf749D639785,392,16,4525021647581034861280,4525,408,28,28,28-55 days
0x982ebCDE433607266e8c22A8d348A1CCE2EDdC21,391,16,2283789872903814336794,2284,407,21,0,0-27 days
0x6e21C10717Df0DCe7b92f79B4aCEDE24bd8F95Ac,398,16,336712328767123287671232,336712,414,70,56,56-83 days
0xF2341517612E0a8a73658279Bb1a65cFb2d0D091,402,16,85119114301589001876807,85119,418,98,84,84-111 days
0x77A344c933811b7BdDc7A1c13f0B08f4d5c77055,389,16,1343197431252360793493,1343,405,7,0,0-27 days
0xB5F9883A9318F3c7bC50a40bE24F975885fe13A5,402,16,1051074839190979398672,1051,418,98,84,84-111 days
0xc4374C15b5d3e0f43125CC944Abf5D1411a4a0db,393,16,17568264755766349078662,17568,409,35,28,28-55 days
0x035309adfa631613a7e320FbB3f2f526a74933AB,392,16,10943920029003929267602,10944,408,28,28,28-55 days
0xcaD8b2c66D3691681D1225493740CC4613Bc4736,393,16,16246903575926786588419,16247,409,35,28,28-55 days
0x23617ff6627c30996389Fe0d98F492d39178a0E6,394,16,70000645018963657300206,70001,410,42,28,28-55 days
0x6Fa54473743BC51eD33C54348111745cCFD60eF9,398,12,104613366572215017627,105,410,42,28,28-55 days
0x0F2C2161786c1F8a7f64dFF892890AC583027D53,398,16,4129306170327338954441,4129,414,70,56,56-83 days
0xE32a9DD717ee4d3dcE837B7A76cdCB58C93573E9,389,16,1568893503931989247394,1569,405,7,0,0-27 days
0xD917d8B1527D3C0CeD6F02A4EBa6b29e3BE32f86,398,16,25107199206710065319773,25107,414,70,56,56-83 days
0xd87EcC6C74F486B044824a222326A96F696fCfA2,394,16,1139021000000000000000000,1139021,410,42,28,28-55 days
0x133D93566f9699B3Af46fE150daA8a67a9563ED6,404,16,225581453788389336507958,225581,420,112,112,112-139 days
0xC1017aCE98795cEb701251Ec98B0D76d1D689C01,400,16,5174433449814623337542,5174,416,84,84,84-111 days
0xA777e4260Cebe62aEECFBfd9a27339fEA8020060,403,16,3459734847976479980442,3460,419,105,84,84-111 days
0xF24D5089FC28b618c7AE6308691b847F5256569F,391,16,32719106076193597453791,32719,407,21,0,0-27 days
0x7c3c938495EDD5F0E490099E1b080586ee24999d,400,12,489011527851571279374,489,412,56,56,56-83 days
0x8192752Df2F4ab139821DF7F7008a26Fd7F7a029,396,16,31946800323732089662790,31947,412,56,56,56-83 days
0x496C6401a6465e278476720385D60f477C03C6b1,393,16,8448007773454407729,8,409,35,28,28-55 days
0xaa17879e7cac3AEE12D6aa568691e638EF0C57f0,402,16,187338091463271128866331,187338,418,98,84,84-111 days
0xB8B1be69A221Ce7b747ce71f262C0B18Bc60df19,389,16,1579716302242591543044,1580,405,7,0,0-27 days
0x8Fc80Ea799e65Acd70D4FA17E6a92a6EC393e71a,390,16,10185765009241989493967,10186,406,14,0,0-27 days
0xa0090f88823CeB4873b87B770B543849ee2B1f5C,389,16,1402074348594002829944,1402,405,7,0,0-27 days
0x186E20ae3530520C9F3E6C46F2f5d1062b784761,403,16,1289262124177110613087,1289,419,105,84,84-111 days
0x12bf072d85620F7fDD9Ca2BC46f3fbCBe98a2535,391,16,2148904382122432312340,2149,407,21,0,0-27 days
0x57ad073dd17F69d558bd1BA43D4A39Ebb131F3Ec,404,4,10158184656494745538,10,408,28,28,28-55 days
0x7a2a577D5F3BA46cA4008B8198DF389E72456876,398,12,745251703354190925221,745,410,42,28,28-55 days
0x5CC5cEb562B14cE831F69fF69d4B3C2188DD7166,400,16,15939284791904655952,16,416,84,84,84-111 days
0xfDC54e8E4395B8A5A7A55DA875d708151C798b61,393,16,1170758489000000000000,1171,409,35,28,28-55 days
0x0F45156F109e474295913D78036FA213b1745D5A,389,16,255144000000000000000000,255144,405,7,0,0-27 days
0x4Cb2b7C5aA7af4176cc59584dea6246abfB1733a,403,16,173368152943627312323,173,419,105,84,84-111 days
0x9332c16E8E00E0661A06Fd1c2E2aB7E5C424006D,393,16,290040055049864607968,290,409,35,28,28-55 days
0xB8e160612aD814a294313bc77FBE67F38b67ccDc,399,16,203519861296541671107,204,415,77,56,56-83 days
0x35127316eB1F025B615df957909FbdE3c87dC52E,390,16,692989956132163079146,693,406,14,0,0-27 days
0x88aAF4a728e14748cea5e9A3cA1306Ac567ba472,403,16,18886817085148363302892,18887,419,105,84,84-111 days
0x50f64A4D7f6b5472Ee7d9b471A2F251662C3e648,391,16,12072848885620473464402,12073,407,21,0,0-27 days
0xB9Ed955fc3A389229A1873F631669a40c345F5F4,402,16,729712132930759959947,730,418,98,84,84-111 days
0xc3EA7b691Ee6892Bd6125CD94fb5a94f13bDC959,399,12,242185254067859311166386,242185,411,49,28,28-55 days
0xe3f0254B09AEc48ffA46f9eeE5A3BC7a8E510e6D,389,16,30519516994262064510286,30520,405,7,0,0-27 days
0x3820977F01255DA9Ca6c7570e9ad54ECdDd59FA4,389,16,40763124974615036722,41,405,7,0,0-27 days
0x767e1d39817DaeAD1244AC590a15f4AEF12F510B,395,16,329420174092142747054,329,411,49,28,28-55 days
0xab7bA98987fEC6D4931FB03f51BA24aD2539f68A,391,16,32066118250595724697,32,407,21,0,0-27 days
0x1cABC2a3E7fD58B16502bF7c60c5a5e41b9Db638,392,16,501827354743888389060,502,408,28,28,28-55 days
0xb8138046a377A64551Ba9B25492E679De68663de,403,16,394398337833587383449,394,419,105,84,84-111 days
0x065Ed8A62aF637530a75bB79433d6c49A2983A5E,392,16,795581725896780606859,796,408,28,28,28-55 days
0xF770153Abe437467Ee34901Af275376f678785F8,393,16,16850004000000000001,17,409,35,28,28-55 days
0xdD83eaa1A66369AB09B2642a1A130287c4aD8e40,393,16,265258761642106315434,265,409,35,28,28-55 days
0x144169C02b86ebe45B21A4c81802e7C551484de5,393,16,13001973647664417782242,13002,409,35,28,28-55 days
0x09E751EbD7E0Bc9e3711849bBe2c429a026A411E,393,12,6000000000000000000000,6000,405,7,0,0-27 days
0xE8da7a85B4639B43b6C7a358264966a8c98e3CfD,394,16,1617940056255950626590,1618,410,42,28,28-55 days
0x9D5d0bfd2985e4D417f479D22Af77FC2384BDd5B,394,16,30604972000000000000,31,410,42,28,28-55 days
0x65fDB0588e713F3c530321C9015C0bf84a6e0F65,398,16,28402744000000000000,28,414,70,56,56-83 days
0x4Ad87E34EC498210F7704167088B2ff0B1389ea6,394,16,55177000000000000000000,55177,410,42,28,28-55 days
0x9d393DADf3958BA14Ca15424B873f04618C604C4,395,16,32307979660421421020926,32308,411,49,28,28-55 days
0xc9eF1323C851396E7D9Eae88e77805341eAa8115,400,16,694248374003879426313,694,416,84,84,84-111 days
0xb40343b1E10AB498643de95A7eD37aDCEBDef28c,397,16,10702767068334145512,11,413,63,56,56-83 days
0x9493299b5Be94036B97f54f6C002b65FC605A895,397,16,78697947000000000000,79,413,63,56,56-83 days
0x52f7a765993b0833A15b5BAEf6Eb63c6f74bAbb1,398,16,295764925296564533801,296,414,70,56,56-83 days
0x3493FB990868E2B5957E7B1Bd816b7Db87123c39,399,16,188863851185585778676,189,415,77,56,56-83 days
0xbc23d0e7dD19Fc0Fe042f5c6cf957Deb3A7B454a,402,16,46510348000000000000,47,418,98,84,84-111 days
0x21d0aa6C43F123F3CdBEcef898618c924dA9C371,402,16,332704253565839523551,333,418,98,84,84-111 days
0xe7Cdd6583b674AF8d10b89899b134C41846dA0bf,399,16,2890244441150852791,3,415,77,56,56-83 days
0x54526dd3B396A3233910Baf1b8D195bEA3b25021,399,16,73027754000000000000,73,415,77,56,56-83 days
0x636dF4BD62E1Eb3477c0dBAFc8cD8C5Dd8B3A972,400,16,67778817000000000000,68,416,84,84,84-111 days
0x259A11563A88a749C2871a2EA3a06c61095DE49d,401,16,71287956270742086,0,417,91,84,84-111 days
0x333499Df348BDF759b6f9F86d7485418b7b58233,401,16,13739790197310314881,14,417,91,84,84-111 days
0xe625759D199F3f1B7aEC295cc69796762d3F21C0,401,4,3770339349830247628178,3770,405,7,0,0-27 days
0xCE777492fFb5183A890A97bb43f29f8A21B685DF,402,16,528551309089694236327,529,418,98,84,84-111 days
0x01485ef10715F5B96BeFfA5552B0642E32C9aef6,402,16,3775683641230323179511,3776,418,98,84,84-111 days
0x06aAcfDeeBDcCCa500B98411cC45c8D4A45944ED,403,4,288717989000000000000,289,407,21,0,0-27 days
