,buy_amount_price,min_buy_amount_price,buy_symbol,sell_symbol,datetime_received,aggregatorName
0,0.9974513120322682,0.9971022040730568,frxUSD,crvUSD,2025-09-23 18:02:51.610783+00:00,Lifi
1,0.99739557904,0.9970464905900001,USDC,crvUSD,2025-09-23 18:02:51.600037+00:00,Lifi
2,0.9964813836449534,0.9961326151606776,USDe,crvUSD,2025-09-23 18:02:51.580786+00:00,Lifi
3,0.9980128923544784,0.9976635878421544,GHO,crvUSD,2025-09-23 18:02:51.489506+00:00,Lifi
4,0.9969577611200001,0.9966088258999999,USDT,crvUSD,2025-09-23 18:02:51.309396+00:00,Lifi
5,0.9993675394516367,0.9990177608128287,FRAX,crvUSD,2025-09-23 18:02:51.448734+00:00,Lifi
6,0.997235240358766,0.9968862080246406,crvUSD,frxUSD,2025-09-23 18:02:51.684541+00:00,Lifi
7,0.99717915091,0.99683013821,USDC,frxUSD,2025-09-23 18:02:51.457720+00:00,Lifi
8,0.9962589245093482,0.9959102338857698,USDe,frxUSD,2025-09-23 18:02:51.484985+00:00,Lifi
9,0.9977589058387372,0.9974096902216936,GHO,frxUSD,2025-09-23 18:02:51.904258+00:00,Lifi
10,0.9967235033099999,0.99637465008,USDT,frxUSD,2025-09-23 18:02:52.024635+00:00,Lifi
11,0.9989977929329842,0.9986481437054576,FRAX,frxUSD,2025-09-23 18:02:52.419026+00:00,Lifi
12,0.997514172552735,0.9971650425923415,crvUSD,USDC,2025-09-23 18:02:54.271265+00:00,Lifi
13,0.9975976291601288,0.9972484699899229,frxUSD,USDC,2025-09-23 18:02:55.095022+00:00,Lifi
14,0.9965997235286331,0.9962509136253982,USDe,USDC,2025-09-23 18:02:54.568095+00:00,Lifi
15,0.9981020976384739,0.9977527619043004,GHO,USDC,2025-09-23 18:02:54.017034+00:00,Lifi
16,0.9970672393,0.99671826577,USDT,USDC,2025-09-23 18:02:54.371835+00:00,Lifi
17,0.9996180782642333,0.9992682119368408,FRAX,USDC,2025-09-23 18:02:54.598446+00:00,Lifi
18,0.9984213744937842,0.9980719270127114,crvUSD,USDe,2025-09-23 18:02:54.961161+00:00,Lifi
19,0.9985411879266413,0.998191698510867,frxUSD,USDe,2025-09-23 18:02:55.920920+00:00,Lifi
20,0.9983641837499999,0.9980147562899999,USDC,USDe,2025-09-23 18:02:55.804894+00:00,Lifi
21,0.9989723507323973,0.9986227104096411,GHO,USDe,2025-09-23 18:02:56.361950+00:00,Lifi
22,0.9979281783899999,0.99757890353,USDT,USDe,2025-09-23 18:02:56.479197+00:00,Lifi
23,1.00050533532364,1.0001551584562764,FRAX,USDe,2025-09-23 18:02:56.843348+00:00,Lifi
24,0.9968254983070963,0.9964766093826889,crvUSD,GHO,2025-09-23 18:02:57.282134+00:00,Lifi
25,0.9968662967949419,0.9965173935910636,frxUSD,GHO,2025-09-23 18:02:57.590235+00:00,Lifi
26,0.99678507589,0.99643620111,USDC,GHO,2025-09-23 18:02:58.255831+00:00,Lifi
27,0.9959011065956954,0.9955525412083871,USDe,GHO,2025-09-23 18:02:58.338258+00:00,Lifi
28,0.99637940909,0.9960306763000001,USDT,GHO,2025-09-23 18:02:58.802151+00:00,Lifi
29,0.9988282505650921,0.9984786606773942,FRAX,GHO,2025-09-23 18:02:59.989757+00:00,Lifi
30,0.9979775360166766,0.9976282438790708,crvUSD,USDT,2025-09-23 18:02:59.515534+00:00,Lifi
31,0.9980840310831576,0.9977347016722785,frxUSD,USDT,2025-09-23 18:02:59.841272+00:00,Lifi
32,0.99795364278,0.99760435901,USDC,USDT,2025-09-23 18:03:00.306675+00:00,Lifi
33,0.9970479560543926,0.9966989892697734,USDe,USDT,2025-09-23 18:03:01.891567+00:00,Lifi
34,0.9985381716700721,0.9981886833099876,GHO,USDT,2025-09-23 18:03:00.958079+00:00,Lifi
35,1.0000519379617248,0.9997019197834383,FRAX,USDT,2025-09-23 18:03:01.380443+00:00,Lifi
36,0.9953880117024174,0.9950396258983217,crvUSD,FRAX,2025-09-23 18:03:03.810501+00:00,Lifi
37,0.9954712827243113,0.9951228677753579,frxUSD,FRAX,2025-09-23 18:03:02.180277+00:00,Lifi
38,0.9952976600000001,0.99494930582,USDC,FRAX,2025-09-23 18:03:02.480664+00:00,Lifi
39,0.9943928864925127,0.9940448489822402,USDe,FRAX,2025-09-23 18:03:02.977207+00:00,Lifi
40,0.9958777701708788,0.995529212951319,GHO,FRAX,2025-09-23 18:03:04.422417+00:00,Lifi
41,0.99486673815,0.99451853479,USDT,FRAX,2025-09-23 18:03:03.607364+00:00,Lifi
0,0.9974530163736797,0.9971039078179491,frxUSD,crvUSD,2025-09-23 18:04:07.699912+00:00,Lifi
1,0.9973956499100001,0.99704656143,USDC,crvUSD,2025-09-23 18:04:08.069427+00:00,Lifi
2,0.9965024079747266,0.9961536321319353,USDe,crvUSD,2025-09-23 18:04:07.457578+00:00,Lifi
3,0.9978947026489611,0.997545439503034,GHO,crvUSD,2025-09-23 18:04:08.235014+00:00,Lifi
4,0.9969492969999999,0.99660036475,USDT,crvUSD,2025-09-23 18:04:07.598987+00:00,Lifi
5,0.9994091173358876,0.9990593241448201,FRAX,crvUSD,2025-09-23 18:04:07.610120+00:00,Lifi
6,0.9972353099867874,0.9968862776282922,crvUSD,frxUSD,2025-09-23 18:04:07.471375+00:00,Lifi
7,0.99718008344,0.99683107041,USDC,frxUSD,2025-09-23 18:04:07.583654+00:00,Lifi
8,0.9955736360324156,0.9952251852598041,USDe,frxUSD,2025-09-23 18:04:07.830673+00:00,Lifi
9,0.9977584636714424,0.9974092482091573,GHO,frxUSD,2025-09-23 18:04:08.278337+00:00,Lifi
10,0.9967241645999999,0.99637531114,USDT,frxUSD,2025-09-23 18:04:08.563390+00:00,Lifi
11,0.9989977929329842,0.9986481437054576,FRAX,frxUSD,2025-09-23 18:04:08.965987+00:00,Lifi
12,0.9975298387503989,0.9971807033068364,crvUSD,USDC,2025-09-23 18:04:09.327915+00:00,Lifi
13,0.9976134647714365,0.9972643000587665,frxUSD,USDC,2025-09-23 18:04:10.567787+00:00,Lifi
14,0.9966090807583279,0.9962602675800624,USDe,USDC,2025-09-23 18:04:11.737680+00:00,Lifi
15,0.9981413222935682,0.9977919728307655,GHO,USDC,2025-09-23 18:04:10.454270+00:00,Lifi
16,0.99708253722,0.99673355833,USDT,USDC,2025-09-23 18:04:10.751845+00:00,Lifi
17,0.9996232449010743,0.999273376765359,FRAX,USDC,2025-09-23 18:04:11.128317+00:00,Lifi
18,0.9984213744937842,0.9980719270127114,crvUSD,USDe,2025-09-23 18:04:12.086657+00:00,Lifi
19,0.9985411879266413,0.998191698510867,frxUSD,USDe,2025-09-23 18:04:13.286845+00:00,Lifi
20,0.9983738737,0.99802444284,USDC,USDe,2025-09-23 18:04:14.833335+00:00,Lifi
21,0.9989723515239222,0.9986227112008887,GHO,USDe,2025-09-23 18:04:12.650343+00:00,Lifi
22,0.99792141055,0.99757213806,USDT,USDe,2025-09-23 18:04:12.998177+00:00,Lifi
23,1.0005161373283693,1.0001659566803043,FRAX,USDe,2025-09-23 18:04:14.007753+00:00,Lifi
24,0.9968564342241625,0.9965075344721841,crvUSD,GHO,2025-09-23 18:04:15.804365+00:00,Lifi
25,0.996852576098682,0.9965036776970475,frxUSD,GHO,2025-09-23 18:04:14.120141+00:00,Lifi
26,0.9967965756399999,0.99644769684,USDC,GHO,2025-09-23 18:04:14.743584+00:00,Lifi
27,0.9959011065956954,0.9955525412083871,USDe,GHO,2025-09-23 18:04:14.963277+00:00,Lifi
28,0.99637656926,0.99602783746,USDT,GHO,2025-09-23 18:04:15.423035+00:00,Lifi
29,0.9988343714647129,0.9984847794347004,FRAX,GHO,2025-09-23 18:04:15.634375+00:00,Lifi
30,0.997962795858953,0.9976135088804026,crvUSD,USDT,2025-09-23 18:04:16.064104+00:00,Lifi
31,0.998086094429936,0.9977367642968856,frxUSD,USDT,2025-09-23 18:04:16.361871+00:00,Lifi
32,0.99795904628,0.99760976061,USDC,USDT,2025-09-23 18:04:17.489806+00:00,Lifi
33,0.997053109504064,0.9967041409157377,USDe,USDT,2025-09-23 18:04:17.492232+00:00,Lifi
34,0.9985407365950264,0.9981912473372181,GHO,USDT,2025-09-23 18:04:18.762481+00:00,Lifi
35,1.000057106840976,0.9997070868535817,FRAX,USDT,2025-09-23 18:04:17.851864+00:00,Lifi
36,0.9953880117024174,0.9950396258983217,crvUSD,FRAX,2025-09-23 18:04:18.291131+00:00,Lifi
37,0.9954712827243113,0.9951228677753579,frxUSD,FRAX,2025-09-23 18:04:18.638792+00:00,Lifi
38,0.99529762432,0.9949492701499999,USDC,FRAX,2025-09-23 18:04:19.003385+00:00,Lifi
39,0.9943994384894673,0.9940513986859959,USDe,FRAX,2025-09-23 18:04:19.816172+00:00,Lifi
40,0.9958101270713998,0.9954615935269246,GHO,FRAX,2025-09-23 18:04:21.557864+00:00,Lifi
41,0.99486673815,0.99451853479,USDT,FRAX,2025-09-23 18:04:20.223306+00:00,Lifi
0,0.9974521005545341,0.99710299231934,frxUSD,crvUSD,2025-09-23 18:05:24.698125+00:00,Lifi
1,0.9973817615499999,0.99703267793,USDC,crvUSD,2025-09-23 18:05:24.855591+00:00,Lifi
2,0.9964604757447941,0.9961117145782834,USDe,crvUSD,2025-09-23 18:05:24.709879+00:00,Lifi
3,0.9979837625941381,0.9976344682772302,GHO,crvUSD,2025-09-23 18:05:24.850910+00:00,Lifi
4,0.9969729975799999,0.99662405703,USDT,crvUSD,2025-09-23 18:05:24.633880+00:00,Lifi
5,0.9994089093520662,0.9990591162337928,FRAX,crvUSD,2025-09-23 18:05:24.755467+00:00,Lifi
6,0.9972353912195143,0.9968863588325872,crvUSD,frxUSD,2025-09-23 18:05:24.842907+00:00,Lifi
7,0.997140782,0.99679178273,USDC,frxUSD,2025-09-23 18:05:24.627767+00:00,Lifi
8,0.99626150439848,0.9959128128719406,USDe,frxUSD,2025-09-23 18:05:24.981755+00:00,Lifi
9,0.9977041091617468,0.9973549127235402,GHO,frxUSD,2025-09-23 18:05:25.795629+00:00,Lifi
10,0.99670782476,0.99635897702,USDT,frxUSD,2025-09-23 18:05:25.715294+00:00,Lifi
11,0.998998041862307,0.9986483925476551,FRAX,frxUSD,2025-09-23 18:05:28.138784+00:00,Lifi
12,0.9975592304788764,0.9972100847482087,crvUSD,USDC,2025-09-23 18:05:26.493547+00:00,Lifi
13,0.9976092761092652,0.9972601128626268,frxUSD,USDC,2025-09-23 18:05:26.850566+00:00,Lifi
14,0.9966207579945973,0.9962719407292989,USDe,USDC,2025-09-23 18:05:27.170125+00:00,Lifi
15,0.9981413222935682,0.9977919728307655,GHO,USDC,2025-09-23 18:05:27.588553+00:00,Lifi
16,0.99707927675,0.996730299,USDT,USDC,2025-09-23 18:05:27.914762+00:00,Lifi
17,0.9994857579115369,0.999135937896268,FRAX,USDC,2025-09-23 18:05:29.911502+00:00,Lifi
18,0.9984092285519813,0.9980597853219881,crvUSD,USDe,2025-09-23 18:05:28.715013+00:00,Lifi
19,0.9985362340910363,0.9981867464091044,frxUSD,USDe,2025-09-23 18:05:29.033055+00:00,Lifi
20,0.99831986791,0.99797045596,USDC,USDe,2025-09-23 18:05:29.662664+00:00,Lifi
21,0.9989723515239222,0.9986227112008887,GHO,USDe,2025-09-23 18:05:29.741542+00:00,Lifi
22,0.9979292049299999,0.99757992971,USDT,USDe,2025-09-23 18:05:30.121884+00:00,Lifi
23,1.0005172495458738,1.0001670685085327,FRAX,USDe,2025-09-23 18:05:30.576748+00:00,Lifi
24,0.9968506729705643,0.9965017752350246,crvUSD,GHO,2025-09-23 18:05:30.899647+00:00,Lifi
25,0.9968539698434029,0.9965050709539578,frxUSD,GHO,2025-09-23 18:05:31.231473+00:00,Lifi
26,0.9967983206,0.9964494411900001,USDC,GHO,2025-09-23 18:05:31.622158+00:00,Lifi
27,0.9959064693124907,0.9955579020482314,USDe,GHO,2025-09-23 18:05:32.009271+00:00,Lifi
28,0.99637789502,0.9960291627600001,USDT,GHO,2025-09-23 18:05:32.396478+00:00,Lifi
29,0.9988307786455275,0.9984811878730017,FRAX,GHO,2025-09-23 18:05:42.762631+00:00,Lifi
30,0.9979768482896625,0.997627556392761,crvUSD,USDT,2025-09-23 18:05:33.138186+00:00,Lifi
31,0.9980861806732033,0.9977368505099676,frxUSD,USDT,2025-09-23 18:05:33.546679+00:00,Lifi
32,0.99793329705,0.9975840204,USDC,USDT,2025-09-23 18:05:33.967803+00:00,Lifi
33,0.9970533249067013,0.9967043562429839,USDe,USDT,2025-09-23 18:05:34.263002+00:00,Lifi
34,0.9985386105147583,0.9981891220010781,GHO,USDT,2025-09-23 18:05:34.674132+00:00,Lifi
35,1.0000573228885352,0.9997073028255241,FRAX,USDT,2025-09-23 18:05:35.085049+00:00,Lifi
36,0.995388011712422,0.9950396259083227,crvUSD,FRAX,2025-09-23 18:05:35.391291+00:00,Lifi
37,0.9954710999450526,0.9951226850600716,frxUSD,FRAX,2025-09-23 18:05:35.799824+00:00,Lifi
38,0.99529762432,0.9949492701499999,USDC,FRAX,2025-09-23 18:05:36.808216+00:00,Lifi
39,0.9943994384894673,0.9940513986859959,USDe,FRAX,2025-09-23 18:05:36.599370+00:00,Lifi
40,0.9958673651748843,0.9955188115970732,GHO,FRAX,2025-09-23 18:05:37.541704+00:00,Lifi
41,0.9948666965399999,0.9945184932,USDT,FRAX,2025-09-23 18:05:37.237044+00:00,Lifi
0,0.9974521005545341,0.99710299231934,frxUSD,crvUSD,2025-09-23 18:06:45.794210+00:00,Lifi
1,0.99739411792,0.99704502998,USDC,crvUSD,2025-09-23 18:06:45.864592+00:00,Lifi
2,0.996478576539518,0.9961298090377293,USDe,crvUSD,2025-09-23 18:06:47.058596+00:00,Lifi
3,0.9980072065501481,0.9976579040278556,GHO,crvUSD,2025-09-23 18:06:46.032016+00:00,Lifi
4,0.9969569698999999,0.9966080349599999,USDT,crvUSD,2025-09-23 18:06:45.840656+00:00,Lifi
5,0.9993671367232437,0.9990173582253907,FRAX,crvUSD,2025-09-23 18:06:46.976637+00:00,Lifi
6,0.9972354724522787,0.9968864400369204,crvUSD,frxUSD,2025-09-23 18:06:45.793881+00:00,Lifi
7,0.99717291297,0.9968239024500001,USDC,frxUSD,2025-09-23 18:06:45.792404+00:00,Lifi
8,0.99626150439848,0.9959128128719406,USDe,frxUSD,2025-09-23 18:06:46.139646+00:00,Lifi
9,0.9976826346001838,0.9973334456780738,GHO,frxUSD,2025-09-23 18:06:47.227378+00:00,Lifi
10,0.99670782476,0.99635897702,USDT,frxUSD,2025-09-23 18:06:47.078695+00:00,Lifi
11,0.9989959306841579,0.9986462821084185,FRAX,frxUSD,2025-09-23 18:06:47.291441+00:00,Lifi
12,0.9975491446825969,0.9972000024819581,crvUSD,USDC,2025-09-23 18:06:47.676050+00:00,Lifi
13,0.9976057853337987,0.9972566233089318,frxUSD,USDC,2025-09-23 18:06:48.793861+00:00,Lifi
14,0.9966276021351015,0.9962787824743542,USDe,USDC,2025-09-23 18:06:48.420898+00:00,Lifi
15,0.9981020469667924,0.9977527112503539,GHO,USDC,2025-09-23 18:06:48.795062+00:00,Lifi
16,0.9970943001900001,0.99674531718,USDT,USDC,2025-09-23 18:06:50.225255+00:00,Lifi
17,0.9993593546232613,0.9990095788491431,FRAX,USDC,2025-09-23 18:06:50.323973+00:00,Lifi
18,0.9983873523489449,0.9980379167756229,crvUSD,USDe,2025-09-23 18:06:51.781238+00:00,Lifi
19,0.9985362340910363,0.9981867464091044,frxUSD,USDe,2025-09-23 18:06:50.210353+00:00,Lifi
20,0.99840337,0.99805392882,USDC,USDe,2025-09-23 18:06:50.654651+00:00,Lifi
21,0.9989723515239222,0.9986227112008887,GHO,USDe,2025-09-23 18:06:51.044662+00:00,Lifi
22,0.99795913327,0.9976098475699999,USDT,USDe,2025-09-23 18:06:51.359289+00:00,Lifi
23,1.00050533532364,1.0001551584562764,FRAX,USDe,2025-09-23 18:06:51.780781+00:00,Lifi
24,0.9968490020982597,0.9965001049475253,crvUSD,GHO,2025-09-23 18:06:52.174605+00:00,Lifi
25,0.9968663359068779,0.9965174326893105,frxUSD,GHO,2025-09-23 18:06:52.535758+00:00,Lifi
26,0.99678507595,0.99643620117,USDC,GHO,2025-09-23 18:06:52.855674+00:00,Lifi
27,0.995904377594058,0.9955558110619002,USDe,GHO,2025-09-23 18:06:53.215740+00:00,Lifi
28,0.9963480219499999,0.9959993001399999,USDT,GHO,2025-09-23 18:06:53.624313+00:00,Lifi
29,0.9988065206180777,0.9984569383358614,FRAX,GHO,2025-09-23 18:06:54.797248+00:00,Lifi
30,0.9979615124585685,0.9976122259292081,crvUSD,USDT,2025-09-23 18:06:54.342604+00:00,Lifi
31,0.9980861806732033,0.9977368505099676,frxUSD,USDT,2025-09-23 18:06:55.879345+00:00,Lifi
32,0.99793329705,0.9975840204,USDC,USDT,2025-09-23 18:06:55.094420+00:00,Lifi
33,0.9970328667367968,0.9966839052334389,USDe,USDT,2025-09-23 18:06:55.471953+00:00,Lifi
34,0.9985356008499493,0.9981861133896519,GHO,USDT,2025-09-23 18:06:55.878022+00:00,Lifi
35,1.0000573228885352,0.9997073028255241,FRAX,USDT,2025-09-23 18:06:56.435471+00:00,Lifi
36,0.9953847680583122,0.9950363833894916,crvUSD,FRAX,2025-09-23 18:06:56.618116+00:00,Lifi
37,0.9954308708597961,0.9950824700549952,frxUSD,FRAX,2025-09-23 18:06:57.076017+00:00,Lifi
38,0.99529762432,0.9949492701499999,USDC,FRAX,2025-09-23 18:06:57.721331+00:00,Lifi
39,0.994377779516698,0.9940297472938671,USDe,FRAX,2025-09-23 18:06:57.721777+00:00,Lifi
40,0.9958660290716346,0.9955174759614596,GHO,FRAX,2025-09-23 18:06:58.848521+00:00,Lifi
41,0.9948405484,0.99449235421,USDT,FRAX,2025-09-23 18:06:58.481774+00:00,Lifi
0,0.9974562255976442,0.9971071159186851,frxUSD,crvUSD,2025-09-23 18:08:01.881225+00:00,Lifi
1,0.9973817615499999,0.99703267793,USDC,crvUSD,2025-09-23 18:08:01.945265+00:00,Lifi
2,0.9964856203445612,0.9961368503774404,USDe,crvUSD,2025-09-23 18:08:02.004518+00:00,Lifi
3,0.9980105949249052,0.9976612912166816,GHO,crvUSD,2025-09-23 18:08:02.145869+00:00,Lifi
4,0.9969360638100001,0.9965871361900001,USDT,crvUSD,2025-09-23 18:08:05.276354+00:00,Lifi
5,0.9993671367232437,0.9990173582253907,FRAX,crvUSD,2025-09-23 18:08:03.114084+00:00,Lifi
6,0.9972355420803929,0.9968865096406647,crvUSD,frxUSD,2025-09-23 18:08:05.614236+00:00,Lifi
7,0.99717059023,0.99682158052,USDC,frxUSD,2025-09-23 18:08:02.030612+00:00,Lifi
8,0.9962463339570029,0.995897647740118,USDe,frxUSD,2025-09-23 18:08:02.256238+00:00,Lifi
9,0.9977546884139047,0.9974054742729599,GHO,frxUSD,2025-09-23 18:08:02.629017+00:00,Lifi
10,0.99672192965,0.99637307697,USDT,frxUSD,2025-09-23 18:08:05.085576+00:00,Lifi
11,0.9988403185792741,0.9984907244677713,FRAX,frxUSD,2025-09-23 18:08:05.732562+00:00,Lifi
12,0.9975155657724608,0.9971664353244404,crvUSD,USDC,2025-09-23 18:08:04.367130+00:00,Lifi
13,0.9975994953102988,0.9972503354869402,frxUSD,USDC,2025-09-23 18:08:06.089395+00:00,Lifi
14,0.9965873926424752,0.9962385870550503,USDe,USDC,2025-09-23 18:08:04.478104+00:00,Lifi
15,0.9981021674768147,0.9977528317181978,GHO,USDC,2025-09-23 18:08:05.179846+00:00,Lifi
16,0.9970542493900001,0.9967052804000001,USDT,USDC,2025-09-23 18:08:07.942831+00:00,Lifi
17,0.9995899059238379,0.9992400494567646,FRAX,USDC,2025-09-23 18:08:05.615413+00:00,Lifi
18,0.9984056175130555,0.9980561755469259,crvUSD,USDe,2025-09-23 18:08:06.743974+00:00,Lifi
19,0.9985404694650857,0.9981909803007728,frxUSD,USDe,2025-09-23 18:08:06.324673+00:00,Lifi
20,0.99840385083,0.99805440948,USDC,USDe,2025-09-23 18:08:07.000871+00:00,Lifi
21,0.9989723515239222,0.9986227112008887,GHO,USDe,2025-09-23 18:08:07.073374+00:00,Lifi
22,0.9979348081599999,0.99758553098,USDT,USDe,2025-09-23 18:08:07.429556+00:00,Lifi
23,1.0005053353363813,1.0001551584690136,FRAX,USDe,2025-09-23 18:08:08.887907+00:00,Lifi
24,0.9968342203747181,0.9964853283975869,crvUSD,GHO,2025-09-23 18:08:08.200308+00:00,Lifi
25,0.9968526010877601,0.9965037026773793,frxUSD,GHO,2025-09-23 18:08:10.132792+00:00,Lifi
26,0.99678507595,0.99643620117,USDC,GHO,2025-09-23 18:08:12.399704+00:00,Lifi
27,0.995904377594058,0.9955558110619002,USDe,GHO,2025-09-23 18:08:09.339613+00:00,Lifi
28,0.99636312235,0.99601439526,USDT,GHO,2025-09-23 18:08:09.708617+00:00,Lifi
29,0.9988065204210279,0.9984569381388807,FRAX,GHO,2025-09-23 18:08:10.117927+00:00,Lifi
30,0.9979615124585685,0.9976122259292081,crvUSD,USDT,2025-09-23 18:08:10.712213+00:00,Lifi
31,0.9980850673121802,0.9977357375386209,frxUSD,USDT,2025-09-23 18:08:10.789133+00:00,Lifi
32,0.99793329705,0.9975840204,USDC,USDT,2025-09-23 18:08:12.177579+00:00,Lifi
33,0.9970323921616464,0.9966834308243898,USDe,USDT,2025-09-23 18:08:13.623012+00:00,Lifi
34,0.9985357214123156,0.9981862339098214,GHO,USDT,2025-09-23 18:08:12.109368+00:00,Lifi
35,1.0000362377482126,0.9996862250650007,FRAX,USDT,2025-09-23 18:08:13.642310+00:00,Lifi
36,0.9953801080344424,0.9950317249966302,crvUSD,FRAX,2025-09-23 18:08:12.783966+00:00,Lifi
37,0.9953982715481289,0.995049882153087,frxUSD,FRAX,2025-09-23 18:08:13.039558+00:00,Lifi
38,0.99531589584,0.99496753528,USDC,FRAX,2025-09-23 18:08:13.405565+00:00,Lifi
39,0.9943658348350042,0.994017806792812,USDe,FRAX,2025-09-23 18:08:13.835062+00:00,Lifi
40,0.9958776944133847,0.9955291372203399,GHO,FRAX,2025-09-23 18:08:14.161997+00:00,Lifi
